season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2023-24,1610612749,22300315,2023-12-13,IND,MIL,1610612754,24,140,126,W
2023-24,1610612749,22300334,2023-12-16,DET,MIL,1610612765,25,146,114,W
2023-24,1610612749,22300346,2023-12-17,HOU,MIL,1610612745,26,128,119,W
2023-24,1610612749,22300361,2023-12-19,SAS,MIL,1610612759,27,132,119,W
2023-24,1610612749,22300378,2023-12-21,ORL,MIL,1610612753,28,118,114,W
2023-24,1610612749,22300388,2023-12-23,MIL,NYK,1610612752,29,130,111,W
2023-24,1610612749,22300401,2023-12-25,MIL,NYK,1610612752,30,122,129,L
2023-24,1610612749,22300417,2023-12-27,MIL,BKN,1610612751,31,144,122,W
2023-24,1610612749,22300433,2023-12-29,MIL,CLE,1610612739,32,119,111,W
2023-24,1610612749,22300454,2024-01-01,IND,MIL,1610612754,33,113,122,L
2023-24,1610612749,22300466,2024-01-03,MIL,IND,1610612754,34,130,142,L
2023-24,1610612749,22300477,2024-01-04,MIL,SAS,1610612759,35,125,121,W
2023-24,1610612749,22300496,2024-01-06,MIL,HOU,1610612745,36,108,112,L
2023-24,1610612749,22300510,2024-01-08,UTA,MIL,1610612762,37,116,132,L
2023-24,1610612749,22300528,2024-01-11,BOS,MIL,1610612738,38,135,102,W
2023-24,1610612749,22300545,2024-01-13,GSW,MIL,1610612744,39,129,118,W
2023-24,1610612749,22300552,2024-01-14,SAC,MIL,1610612758,40,143,142,W
2023-24,1610612749,22300572,2024-01-17,MIL,CLE,1610612739,41,95,135,L
2023-24,1610612749,22300592,2024-01-20,MIL,DET,1610612765,42,141,135,W
2023-24,1610612749,22300606,2024-01-22,MIL,DET,1610612765,43,122,113,W
2023-24,1610612749,22300624,2024-01-24,CLE,MIL,1610612739,44,126,116,W
2023-24,1610612749,22300639,2024-01-26,CLE,MIL,1610612739,45,100,112,L
2023-24,1610612749,22300648,2024-01-27,NOP,MIL,1610612740,46,141,117,W
2023-24,1610612749,22300667,2024-01-29,MIL,DEN,1610612743,47,107,113,L
2023-24,1610612749,22300683,2024-01-31,MIL,POR,1610612757,48,116,119,L
2023-24,1610612749,22300702,2024-02-03,MIL,DAL,1610612742,49,129,117,W
2023-24,1610612749,22300711,2024-02-04,MIL,UTA,1610612762,50,108,123,L
2023-24,1610612749,22300725,2024-02-06,MIL,PHX,1610612756,51,106,114,L
2023-24,1610612749,22300738,2024-02-08,MIN,MIL,1610612750,52,105,129,L
2023-24,1610612749,22300745,2024-02-09,CHA,MIL,1610612766,53,120,84,W
2023-24,1610612749,22300767,2024-02-12,DEN,MIL,1610612743,54,112,95,W
2023-24,1610612749,22300773,2024-02-13,MIA,MIL,1610612748,55,97,123,L
2023-24,1610612749,22300790,2024-02-15,MIL,MEM,1610612763,56,110,113,L
2023-24,1610612749,22300808,2024-02-23,MIL,MIN,1610612750,57,112,107,W
2023-24,1610612749,22300817,2024-02-25,MIL,PHI,1610612755,58,119,98,W
2023-24,1610612749,22300840,2024-02-27,CHA,MIL,1610612766,59,123,85,W
2023-24,1610612749,22300849,2024-02-29,MIL,CHA,1610612766,60,111,99,W
2023-24,1610612749,22300864,2024-03-01,MIL,CHI,1610612741,61,113,97,W
2023-24,1610612749,22300880,2024-03-04,LAC,MIL,1610612746,62,113,106,W
2023-24,1610612749,22300899,2024-03-06,MIL,GSW,1610612744,63,90,125,L
2023-24,1610612749,22300915,2024-03-08,MIL,LAL,1610612747,64,122,123,L
2023-24,1610612749,22300924,2024-03-10,MIL,LAC,1610612746,65,124,117,W
2023-24,1610612749,22300945,2024-03-12,MIL,SAC,1610612758,66,94,129,L
2023-24,1610612749,22300958,2024-03-14,PHI,MIL,1610612755,67,114,105,W
2023-24,1610612749,22300976,2024-03-17,PHX,MIL,1610612756,68,140,129,W
2023-24,1610612749,22300998,2024-03-20,MIL,BOS,1610612738,69,119,122,L
2023-24,1610612749,22301007,2024-03-21,BKN,MIL,1610612751,70,115,108,W
2023-24,1610612749,22301030,2024-03-24,OKC,MIL,1610612760,71,118,93,W
2023-24,1610612749,22301045,2024-03-26,LAL,MIL,1610612747,72,124,128,L
2023-24,1610612749,22301061,2024-03-28,MIL,NOP,1610612740,73,100,107,L
2023-24,1610612749,22301076,2024-03-30,MIL,ATL,1610612737,74,122,113,W
2023-24,1610612749,22301095,2024-04-02,MIL,WAS,1610612764,75,113,117,L
2023-24,1610612749,22301107,2024-04-03,MEM,MIL,1610612763,76,101,111,L
2023-24,1610612749,22301122,2024-04-05,TOR,MIL,1610612761,77,111,117,L
2023-24,1610612749,22301139,2024-04-07,NYK,MIL,1610612752,78,109,122,L
2023-24,1610612749,22301148,2024-04-09,BOS,MIL,1610612738,79,104,91,W
2023-24,1610612749,22301162,2024-04-10,ORL,MIL,1610612753,80,117,99,W
2023-24,1610612749,22301179,2024-04-12,MIL,OKC,1610612760,81,107,125,L
2023-24,1610612749,22301191,2024-04-14,MIL,ORL,1610612753,82,88,113,L
